titulo,genero,subgenero,diretor,descricao
De Volta para o Futuro,Ficção Científica,Viagem no Tempo,Robert Zemeckis,"Um adolescente viaja acidentalmente para o passado em uma máquina do tempo."
Alien: O Oitavo Passageiro,Terror,Ficção Científica de Horror,Ridley Scott,"A tripulação de uma nave espacial é perseguida por uma criatura mortal."
Psicose,Terror,Suspense Psicológico,Alfred Hitchcock,"Uma mulher em fuga encontra um misterioso motel administrado por um homem peculiar."
Um Lugar Silencioso,Terror,Horror Pós-Apocalíptico,John Krasinski,"Uma família luta para sobreviver em um mundo habitado por criaturas sensíveis ao som."
O Máskara,Comédia,Fantasia Cômica,Chuck Russell,"Um bancário encontra uma máscara mágica que transforma sua personalidade."
Click,Comédia,Pastelão,Frank Coraci,"Um arquiteto recebe um controle remoto capaz de manipular o tempo de sua vida."
A Fantástica Fábrica de Chocolate,Fantasia,Fantasia Familiar,Tim Burton,"Um garoto ganha a chance de visitar a fábrica mais extraordinária do mundo."
As Crônicas de Nárnia,Fantasia,Fantasia Épica,Andrew Adamson,"Quatro irmãos descobrem um mundo mágico escondido atrás de um guarda-roupa."
Missão Impossível,Ação,Espionagem,Brian De Palma,"Um agente secreto tenta limpar seu nome após ser acusado de traição."
Velozes e Furiosos,Ação,Corrida,Rob Cohen,"Um policial se infiltra no mundo das corridas ilegais de rua."
Wall-E,Animação,Aventura Familiar,Andrew Stanton,"Um pequeno robô solitário embarca em uma aventura que pode salvar a humanidade."
Kung Fu Panda,Animação,Artes Marciais,Mark Osborne,"Um panda desajeitado é escolhido para se tornar um grande guerreiro."
O Grande Hotel Budapeste,Comédia,Comédia Dramática,Wes Anderson,"Um concierge e seu aprendiz se envolvem em uma disputa por uma valiosa herança."
O Resgate do Soldado Ryan,Drama,Guerra,Steven Spielberg,"Um grupo de soldados recebe a missão de encontrar e trazer para casa um paraquedista durante a Segunda Guerra Mundial."
Coringa,Drama,Drama Psicológico,Todd Phillips,"Um homem marginalizado enfrenta problemas sociais e psicológicos que o levam a uma transformação sombria."
O Lobo de Wall Street,Comédia,Comédia Biográfica,Martin Scorsese,"A ascensão e os excessos de um corretor da bolsa ambicioso em Nova York."
O Silêncio dos Inocentes,Suspense,Thriller Psicológico,Jonathan Demme,"Uma jovem agente do FBI busca a ajuda de um perigoso serial killer para capturar outro assassino."
Parasita,Drama,Drama Social,Bong Joon-ho,"Uma família de baixa renda se infiltra na vida de uma família rica com consequências inesperadas."
Django Livre,Faroeste,Vingança,Quentin Tarantino,"Um ex-escravo se une a um caçador de recompensas para resgatar sua esposa."
O Exorcista,Terror,Possessão Demoníaca,William Friedkin,"Uma garota apresenta comportamentos assustadores e sua família busca ajuda para salvá-la."
Blade Runner,Ficção Científica,Cyberpunk,Ridley Scott,"Um policial especializado caça androides fugitivos em uma sociedade futurista."
Rocky: Um Lutador,Drama,Drama Esportivo,John G. Avildsen,"Um boxeador desconhecido recebe a chance de enfrentar o campeão mundial dos pesos-pesados."
Truque de Mestre,Suspense,Roubo,Louis Leterrier,"Um grupo de ilusionistas realiza assaltos espetaculares durante suas apresentações."
Toy Story 2,Animação,Aventura Familiar,John Lasseter,"Woody é sequestrado por um colecionador que planeja vendê-lo a um museu no Japão. Woody descobre seu passado como protagonista de uma série de TV e conhece novos brinquedos, enquanto Buzz lidera os outros brinquedos em uma missão de resgate."
Toy Story 3,Animação,Aventura Familiar,Lee Unkrich,"Andy prepara-se para ir para a faculdade. Após um engano, seus brinquedos, são doados para uma creche onde enfrentam perigos e precisam planejar uma fuga."
Gente Grande,Comédia,Drama Familiar,Dennis Dugan,"Cinco amigos de infância que se reencontram em uma casa de veraneio no feriado de 4 de julho, após a morte do antigo treinador de basquete."
Uma Noite de Crime,Terror,Ação,James DeMonaco,"O governo dos Estados Unidos legaliza todos os tipos de crimes durante um período de 12 horas anuais, com o objetivo declarado de reduzir a criminalidade e expurgar os impulsos violentos da população."
Uncharted: Fora do Mapa,Ação,Exploração,Ruben Fleischer,"Nathan Drake e seu parceiro canastrão Victor Sullivan embarcam em uma perigosa busca para encontrar o maior tesouro jamais encontrado."
As Patricinhas de Beverly Hills,Comédia,Romance,Amy Heckerling,"uma adolescente loira, rica e popular de Beverly Hills. Embora pareça fútil e superficial, ela esconde um bom coração e usa sua inteligência para manipular os outros para o bem."
Top Gun,Ação,Drama Militar,Tony Scott,"A trama acompanha um talentoso e rebelde piloto da Marinha americana que ingressa na academia de elite (Top Gun), onde enfrenta forte competição, vive um romance e lida com os limites da adrenalina."
Esquadrão Classe A,Ação,Crime,Joe Carnahan,"Um grupo de elite de ex-comandos do exército americano. Acusados injustamente de um crime, eles escapam da prisão e passam a atuar como mercenários e justiceiros clandestinos."
Old Henry,Ação,Faroeste,Potsy Ponciroli,"A trama segue um fazendeiro viúvo e recluso que acolhe um homem misterioso ferido com uma bolsa de dinheiro, forçando-o a proteger seu filho de uma gangue violenta e revelando seu passado oculto."
Batman: O Cavaleiro das Trevas,Ação,Super-herói,Christopher Nolan,"Batman, o tenente James Gordon e o promotor Harvey Dent enquanto combatem o crime organizado em Gotham City. Eles enfrentam o caos instaurado pelo Coringa, um gênio do crime anarquista que testa os limites morais do herói."
Meu Malvado Favorito,Animação,Comédia Familiar,Pierre Coffin,"Gru, um supervilão que tem seu coração amolecido ao adotar três órfãs (Margo, Edith e Agnes), transformando-se em agente secreto e formando uma família com os divertidos Minions."
Uma Aventura LEGO,Animação,Comédia Familiar,Chris Miller,"Emmet, uma minifigura comum. Ele é erroneamente identificado como a 'Pessoa Especial' e a única esperança para salvar o universo LEGO do tirano Senhor Negócios."
O Senhor dos Anéis: As Duas Torres,Fantasia,Fantasia Épica,Peter Jackson,"A Sociedade do Anel está dividida enquanto seus membros enfrentam batalhas e desafios em diferentes partes da Terra-média."
Os Simpsons: O Filme,Animação,Comédia,David Silverman,"Homer polui o lago da cidade e acaba causando sérios danos. Para amenizar o problema, a solução é colocar toda a cidade dentro de uma bolha, se isolando do resto do mundo."
Vingadores: Ultimato,Ação,Super-herói,Anthony Russo,"Os heróis restantes se unem para desfazer os danos causados por Thanos e restaurar o universo."
Doutor Estranho,Ação,Super-herói,Scott Derrickson,"Um neurocirurgião descobre o mundo das artes místicas após um acidente mudar sua vida."
Homem-Aranha: Sem Volta Para Casa,Ação,Super-herói,Jon Watts,"Peter Parker lida com as consequências de ter sua identidade revelada e enfrenta visitantes de outros universos."
Os Suspeitos,Suspense,Thriller Policial,Denis Villeneuve,"Um pai desesperado busca respostas após o desaparecimento de sua filha e de outra menina."
A Chegada,Ficção Científica,Ficção Científica Espacial,Denis Villeneuve,"Uma linguista é recrutada para se comunicar com misteriosas naves alienígenas que chegam à Terra."
Whiplash,Drama,Drama Musical,Damien Chazelle,"Um jovem baterista enfrenta a pressão extrema de um professor exigente para alcançar a excelência."
Zootopia,Animação,Aventura Familiar,Byron Howard,"Uma coelha policial e uma raposa vigarista unem forças para desvendar uma conspiração em uma cidade habitada por animais."
Como Treinar o Seu Dragão,Animação,Fantasia Familiar,Dean DeBlois,"Um jovem viking faz amizade com um dragão e desafia as tradições de seu povo."
Oppenheimer,Drama,Biografia Histórica,Christopher Nolan,"A história do físico J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica durante a Segunda Guerra Mundial."
Homem-Aranha no Aranhaverso,Animação,Super-herói Animado,Bob Persichetti,"Miles Morales descobre seus poderes e encontra versões alternativas do Homem-Aranha vindas de diferentes dimensões."
Guardiões da Galáxia,Ação,Super-herói Espacial,James Gunn,"Um grupo improvável de criminosos espaciais se une para impedir que uma poderosa relíquia caia em mãos erradas."
Logan,Ação,Super-herói,James Mangold,"Um envelhecido Wolverine protege uma jovem mutante enquanto enfrenta os fantasmas de seu passado."
Ready Player One,Ficção Científica,Cyberpunk,Steven Spielberg,"Em um futuro dominado pela realidade virtual, um jovem participa de uma competição que pode mudar sua vida."
A Ilha do Medo,Suspense,Suspense Psicológico,Martin Scorsese,"Um agente federal investiga o desaparecimento de uma paciente em um hospital psiquiátrico isolado."
O Jogo da Imitação,Drama,Biografia, Morten Tyldum,"A trajetória de Alan Turing e sua equipe na tentativa de decifrar códigos nazistas durante a Segunda Guerra Mundial."
Ratatouille,Animação,Comédia Familiar,Brad Bird,"Um rato apaixonado por culinária sonha em se tornar um grande chef em Paris."
Brinquedo Assassino,Terror,Suspense Psicológico,Tom Holland,"Uma mulher compra para seu filho um boneco amaldiçoado por um assassino em série morto dentro uma loja de brinquedos. Pouco antes, ele faz um ritual de vodu com o boneco, que ganha vida e se torna um perigoso psicopata."
Viva: A Vida é uma Festa,Animação,Fantasia Musical,Lee Unkrich,"Um garoto apaixonado por música embarca em uma jornada pelo Mundo dos Mortos para descobrir a história de sua família."
Cidade de Deus,Drama,Crime,Fernando Meirelles,"Dois jovens seguem caminhos diferentes enquanto crescem em uma comunidade marcada pela violência e pelo tráfico."
Monstros S.A.,Animação,Comédia Familiar,Pete Docter,"Monstros geram energia assustando crianças, mas uma garotinha muda completamente suas vidas."
Transformers,Ação,Ficção Científica,Michael Bay,"Robôs alienígenas em guerra chegam à Terra e envolvem um jovem estudante em um conflito épico."
A Era do Gelo,Animação,Comédia Familiar,Chris Wedge,"Um mamute, uma preguiça e um tigre-dentes-de-sabre embarcam em uma jornada para devolver um bebê humano à sua família."
"Se Beber, Não Case!",Comédia,Comédia Adulta,Todd Phillips,"Três amigos acordam após uma despedida de solteiro em Las Vegas sem lembrar da noite anterior e precisam encontrar o noivo desaparecido."
Madagascar,Animação,Aventura Familiar,Eric Darnell,"Animais de um zoológico de Nova York acabam presos na ilha de Madagascar após uma fuga inesperada."
Todo Mundo em Pânico,Comédia,Paródia,Keenen Ivory Wayans,"Um grupo de adolescentes se envolve em situações absurdas enquanto filmes de terror famosos são satirizados."
Ted,Comédia,Comédia Fantástica,Seth MacFarlane,"Um homem adulto continua sua amizade com um urso de pelúcia que ganhou vida graças a um desejo de infância."
